Unnamed: 0,Date,Max.TemperatureF,Mean.TemperatureF,Min.TemperatureF,Max.Dew.PointF,MeanDew.PointF,Min.DewpointF,Max.Humidity,Mean.Humidity,Min.Humidity,Max.Sea.Level.PressureIn,Mean.Sea.Level.PressureIn,Min.Sea.Level.PressureIn,Max.VisibilityMiles,Mean.VisibilityMiles,Min.VisibilityMiles,Max.Wind.SpeedMPH,Mean.Wind.SpeedMPH,Max.Gust.SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees.br...,city,season
1,1948-07-01,84,78.0,72,71,65,58,93,65,46,30.07,30.01,29.98,10.0,7.0,2.0,16,8,,0.00,0.0,Fog,264<br />,New York City (USA),Summer
2,1948-07-02,82,72.0,63,62,53,49,76,51,33,30.2,30.15,30.08,15.0,14.0,10.0,16,10,,0.00,0.0,,315<br />,New York City (USA),Summer
3,1948-07-03,78,71.0,64,66,58,53,84,62,42,30.17,30.12,30.04,15.0,10.0,5.0,14,6,,0.00,0.0,,203<br />,New York City (USA),Summer
4,1948-07-04,84,76.0,68,68,63,56,90,67,38,30.13,30.1,30.07,15.0,7.0,2.0,12,5,,0.00,0.0,Fog,198<br />,New York City (USA),Summer
5,1948-07-05,93,82.0,70,74,69,65,93,71,40,30.12,30.03,29.89,10.0,6.0,3.0,18,8,,0.00,0.0,Fog-Rain-Thunderstorm,218<br />,New York City (USA),Summer
6,1948-07-06,91,82.0,72,71,68,64,91,75,50,29.88,29.69,29.54,10.0,6.0,2.0,28,10,,0.00,0.0,Rain-Thunderstorm,244<br />,New York City (USA),Summer
7,1948-07-07,73,66.0,60,65,56,50,93,72,44,30.08,29.88,29.6,15.0,12.0,3.0,22,12,,0.00,0.0,Rain,29<br />,New York City (USA),Summer
8,1948-07-08,84,72.0,61,62,56,44,93,63,25,30.26,30.18,30.1,15.0,10.0,2.0,14,8,,0.00,0.0,Fog,254<br />,New York City (USA),Summer
9,1948-07-09,81,72.0,64,64,59,57,90,64,44,30.3,30.27,30.24,10.0,8.0,2.0,18,10,,0.00,0.0,Fog,206<br />,New York City (USA),Summer
10,1948-07-10,82,73.0,64,65,61,56,84,67,39,30.26,30.2,30.12,15.0,9.0,3.0,18,11,,0.00,0.0,,208<br />,New York City (USA),Summer
11,1948-07-11,82,75.0,68,69,66,62,87,75,58,30.12,30.05,29.97,10.0,8.0,4.0,16,12,,0.00,0.0,,203<br />,New York City (USA),Summer
12,1948-07-12,82,76.0,69,70,68,66,90,78,63,30.03,30.0,29.93,10.0,6.0,3.0,20,12,,0.00,0.0,Fog,198<br />,New York City (USA),Summer
13,1948-07-13,79,74.0,70,71,69,66,100,89,74,29.99,29.9,29.82,10.0,7.0,1.0,23,7,,0.00,0.0,Fog-Rain-Thunderstorm,176<br />,New York City (USA),Summer
14,1948-07-14,84,77.0,70,72,68,62,100,78,51,29.99,29.87,29.78,15.0,8.0,1.0,17,8,,0.00,0.0,Fog-Rain,5<br />,New York City (USA),Summer
15,1948-07-15,80,74.0,68,68,62,58,96,72,50,30.11,30.06,29.98,15.0,10.0,6.0,15,7,,0.00,0.0,,81<br />,New York City (USA),Summer
16,1948-07-16,79,71.0,63,63,61,56,93,71,46,30.14,30.11,30.09,15.0,9.0,3.0,18,8,,0.00,0.0,Fog,194<br />,New York City (USA),Summer
17,1948-07-17,73,68.0,64,68,64,61,93,82,66,30.07,30.02,29.93,15.0,12.0,2.0,12,6,,0.00,0.0,Rain,165<br />,New York City (USA),Summer
18,1948-07-18,80,75.0,70,73,70,66,100,84,64,29.92,29.87,29.81,10.0,5.0,1.0,14,7,,0.00,0.0,Fog-Rain-Thunderstorm,219<br />,New York City (USA),Summer
19,1948-07-19,84,78.0,71,71,67,63,87,71,49,29.94,29.91,29.85,10.0,7.0,3.0,15,7,,0.00,0.0,,252<br />,New York City (USA),Summer
20,1948-07-20,84,76.0,69,72,67,61,93,76,51,29.98,29.93,29.89,10.0,7.0,2.0,10,6,,0.00,0.0,Fog,204<br />,New York City (USA),Summer
21,1948-07-21,82,76.0,71,74,72,70,100,85,71,29.89,29.77,29.65,7.0,4.0,2.0,20,8,,0.00,0.0,Fog-Rain-Thunderstorm,198<br />,New York City (USA),Summer
22,1948-07-22,78,74.0,71,72,67,58,100,80,52,29.83,29.75,29.63,15.0,10.0,2.0,18,7,,0.00,0.0,Fog-Rain-Thunderstorm,101<br />,New York City (USA),Summer
